敝绨恶粟,敝衣粝食
不理,不睬
把持,独占
笨拙,蠢笨
惨事,惨剧
发起,提倡
法则,法规
定例,定规
成恳,诚挚
不愿,不肯
独占鳌头,超群绝伦
插翅难逃,插翅难飞
断章取义,穿凿附会
不屑一顾,不足挂齿
不得要领,不知所云
弹丸之地,方寸之地
天禀,天资
焚书坑儒,焚典坑儒
烦恼,纷扰
卑劣,恶劣
分说,分辩
才占八斗,才高八斗
唾手可及,触手可及
担纲,担负
齿如编贝,齿如齐贝
百川归海,百川朝海
拆台,捣乱
城实,赤诚
分开,分离
东奔西撞,东碰西撞
出世,诞生
分裂,翻脸
大概,大致
蜂拥而来,蜂拥而至
不吃烟火食,不食人间烟火
仓促,仓皇
摈除,摒除
方位,方向
伯仲之间,大同小异
锻练,陶冶
稠密,繁密
别出心裁,独出心栽
趁火打劫,趁火抢劫
卑下,卑贱
不管,不论
春和景明,风月无边
仇敌,敌人
德才兼备,德高望重
传杯弄斝,传杯弄盏
磋商,筹议
倒台,塌台
聪明,聪颖
天道好还,恶有恶报
车尘马迹,车辙马迹
闭门思过,闭阁思过
拜望,调查
风清月明,风清月朗
慈悲,慈祥
倒背如流,对答如流
对策,方法
斗气,赌气
充足,饱和
带动,带头
敷衍了事,粗制滥造
托庇,托福
当天,本日
刺骨,澈骨
夫倡妇随,比翼双飞
得意,称心
除去,除掉
发明,发现
同心同德,同舟共济
范例,表率
不一而足,层出不穷
奔波,奔走
雕刻,雕琢
刺探,打听
分钗破镜,分鞋破镜
拔新领异,标新立异
丰沛,充沛
暴殄天物,霸王风月
不知深浅,不知高低
对照,比较
独一无二,独步一时
半壁江山,残山剩水
凡间,尘世
变卦,变更
抟心壹志,抟心揖志
体例,体制
悲哀,悲痛
春笋怒发,春色满园
单手,徒手
逃墨,逃禅
抱残守缺,抱残守阙
创造,发现
参差不齐,错落不齐
不慌不忙,从容不迫
草泽英雄,草莽英雄
天长日久,长年累月
博古通今,博学多才
天差地别,天悬地隔
边沿,边际
出口成章,脱口成章
从从容容,从容自若
齿如编贝,齿若编贝
背义负信,背信弃义
大路,通衢
百身何赎,百身莫赎
挑拨离间,搬弄是非
揣度,揣测
覆盂之固,覆盂之安
春光明媚,春深似海
放浪不拘,放浪无拘
独树一帜,独竖一帜
才干,才略
反击,反攻
风仪,风韵
表里一致,表里如一
博闻强记,才华盖世
发达,繁盛
风度,风范
探寻,探索
伏首贴耳,俯首帖耳
不教而杀,不教而诛
奉迎,巴结
充足,充斥
天差地别,天冠地屦
嘲笑,嘲讽
搬口弄舌,搬弄是非
大动干戈,大打出手
城市,都邑
不过尔尔,不足挂齿
妨碍,打击
半信半疑,半疑半信
奉令承教,奉命承教
半信不信,半疑半信
肥大,肥硕
变化多端,变化无常
繁文末节,繁文缛节
别开生面,标新立异
阐扬,阐明
打诨插科,插科打诨
偷鸡摸狗,偷鸡盗狗
不知纪极,贪得无厌
变幻无常,白云苍狗
打秋风,抽丰
迸发,迸射
东南之秀,东南竹箭
探口而出,脱口而出
帆船,风帆
不知利害,不知死活
大相径庭,天壤之别
担任,负担
厕所消息,捕风捉影
囤积居奇,待价而沽
同意,订定
春风夏雨,春风风人
舛误,舛错
别出机杼,独辟蹊径
调治,调理
聪明,聪敏
长生不老,长生久视
贬价,跌价
垂危,垂死
到达,达到
处分,处置
不识好歹,不识抬举
顶天立地,顶天而立
兵不厌权,兵不厌诈
天性,本性
撤军,退兵
恩同父母,恩逾慈母
不世之功,丰功伟绩
不以为然,不敢苟同
不幸,悲惨
承诺,答允
土牛木马,土鸡瓦犬
飞鸿印雪,飞鸿雪爪
奔跑,奔驰
措施,方法
背本就末,背本趋末
德性,德行
从军,从戎
才力,本领
烦文缛礼,繁文缛礼
杯中蛇影,杯弓蛇影
惨重,沉重
不见棺材不下泪,不见棺材不落泪
大快朵颐,大饱口福
不休,不息
充裕,充沛
闭门不出,韬光养晦
土豪劣绅,达官显宦
发觉,察觉
成家立业,成家立计
推度,猜想
吵闹,嘈吵
添补,补充
耳习目染,耳濡目染
风起云涌,风靡云涌
沉渣泛起,沉滓泛起
拔山举鼎,拔山盖世
从前,畴昔
怅惘,惆怅
谈古说今,谈笑风生
出洋,放洋
堂堂正正,大公无私
豺狼当路,豺狼横道
覆蕉寻鹿,覆鹿遗蕉
讨好,谄谀
纯洁,纯碎
寸心,寸衷
吊民伐罪,锄强扶弱
不堪造就,不成气候
戴月披星,餐风宿露
才智,才气
避其锐气，击其惰归,避实击虚
卑微,卑贱
敦默寡言,沉默寡言
儿童,童子
部分,部门
风流,风骚
查究,探索
百岁之好,百年之好
听之任之,听天由命
贬职,贬谪
忖度,猜想
百闻不如一见,耳听为虚
半筹不纳,半筹莫展
反叛,反抗
不堪入目,卑鄙龌龊
报复,挫折
涕泗交颐,涕泗横流
串话,串音
挑选,采选
东拦西阻,百般阻挠
突然,陡然
得失成败,成败得失
粗心大意,草草了事
藏垢纳污,藏污纳垢
不断,持续
吹影镂尘,徒劳无功
当者披靡,长驱直入
藏垢纳污,涤瑕荡垢
摧坚陷阵,摧锋陷阵
放肆,猖獗
地皮,地盘
地方,地点
停留,停顿
俯看,俯视
弟妇,弟媳
滴水穿石,铁杵磨针
粗犷,粗莽
